,RandomID,Seqplates
1147,2976536,8_G8
1148,2982606,13_F4
1149,2984804,8_G9
1150,3001482,12_F3
1151,3002909,8_F8
1152,3005834,23_A12
1153,3006504,2_C7
1154,3006573,12_G3
1155,3010571,11_G7
1156,3021733,8_F10
1157,3024882,1_D8
1158,3026167,13_D3
1159,3029276,23_G4
1160,3031628,8_G10
1161,3033548,10_C12
1162,3033548,13_G1
1163,3034671,10_E9
1164,3066912,10_H11
1165,3067652,16_B5
1166,3067983,1_F8
1167,3067983,3_H6
1168,3075275,11_C6
1169,3081648,23_H2
1170,3086977,11_C1
1171,3091928,8_H10
1172,3092925,9_B9
1173,3097652,8_H5
1174,3100321,12_C6
1175,3118583,10_G8
1176,3125091,17_H4
1177,3133877,12_A1
1178,3143914,8_A11
1179,3146843,10_H1
1180,3149174,19_F7
1181,3149174,15_G7
1182,3155548,11_A8
1183,3172941,22_D7
1184,3177871,9_D9
1185,3177871,10_H7
1186,3181141,9_B10
1187,3199798,1_B9
1188,3199798,1_C9
1189,3200115,7_H5
1190,3213554,5_A11
1191,3213554,5_A12
1192,3227141,14_C3
1193,3230207,14_B3
1194,3237658,16_A2
1195,3238816,23_A8
1196,3242814,23_H11
1197,3248787,12_A4
1198,3251316,5_C1
1199,3263632,15_H8
